股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000001,2026-03-16,1321.78834485,1320.5790234,1326.62563065,1315.7417376,71560301.0,782089440.63,0.82,-1.21,0.3688,-0.0915
000001,2026-03-17,1319.36970195,1333.88155935,1338.71884515,1318.1603805,107665681.0,1187565491.59,1.56,13.3,0.5548,1.0073
000001,2026-03-18,1335.0908808,1325.4163092,1335.0908808,1319.36970195,79107940.0,867711250.46,1.18,-8.47,0.4077,-0.6346
000001,2026-03-19,1320.5790234,1315.7417376,1326.62563065,1313.3230947,62421195.0,681086518.72,1.0,-9.67,0.3217,-0.7299
000001,2026-03-20,1314.53241615,1302.43920165,1322.9976663,1301.2298802,83408256.0,903819004.16,1.65,-13.3,0.4298,-1.011
000001,2026-03-23,1291.5553086,1263.74091525,1291.5553086,1261.32227235,158008833.0,1666328347.8,2.32,-38.7,0.8142,-2.9712
000001,2026-03-24,1272.2061654,1315.7417376,1316.95105905,1272.2061654,162225127.0,1744746707.7,3.54,52.0,0.836,4.1148
000001,2026-03-25,1316.95105905,1322.9976663,1324.20698775,1304.85784455,74477991.0,809739890.44,1.47,7.26,0.3838,0.5515
000001,2026-03-26,1319.36970195,1322.9976663,1336.30020225,1318.1603805,82766409.0,909199430.74,1.37,0.0,0.4265,0.0
000001,2026-03-27,1319.36970195,1332.6722379,1336.30020225,1309.69513035,88412862.0,972821270.14,2.01,9.67,0.4556,0.7313
000001,2026-03-30,1327.8349521,1329.04427355,1336.30020225,1322.9976663,63252210.0,696208267.35,1.0,-3.63,0.3259,-0.2722
000001,2026-03-31,1330.253595,1339.9281666,1352.0213811,1329.04427355,116456534.0,1294675716.15,1.73,10.88,0.6001,0.8189
000001,2026-04-01,1341.13748805,1348.39341675,1358.06798835,1339.9281666,91892539.0,1025538832.67,1.35,8.47,0.4735,0.6318
000001,2026-04-02,1348.39341675,1362.90527415,1368.9518814,1345.97477385,114889522.0,1292756711.67,1.7,14.51,0.592,1.0762
000001,2026-04-03,1364.1145956,1344.7654524,1364.1145956,1341.13748805,75775733.0,845283641.29,1.69,-18.14,0.3905,-1.331
000001,2026-04-07,1344.7654524,1333.88155935,1347.1840953,1326.62563065,60795521.0,671322754.77,1.53,-10.88,0.3133,-0.8094
000001,2026-04-08,1343.55613095,1356.8586669,1356.8586669,1336.30020225,81297589.0,906308305.45,1.54,22.98,0.4189,1.7226
000001,2026-04-09,1350.81205965,1342.3468095,1356.8586669,1337.5095237,60236493.0,669239285.37,1.43,-14.51,0.3104,-1.0695
000001,2026-04-10,1342.3468095,1341.13748805,1345.97477385,1338.71884515,48104693.0,534088990.51,0.54,-1.21,0.2479,-0.0901
000001,2026-04-13,1336.30020225,1338.71884515,1341.13748805,1333.88155935,40610413.0,449056813.73,0.54,-2.42,0.2093,-0.1803
000001,2026-04-14,1338.71884515,1350.81205965,1350.81205965,1338.71884515,49615109.0,551741632.58,0.9,12.09,0.2557,0.9033
000001,2026-04-15,1349.6027382,1355.64934545,1356.8586669,1348.39341675,50393793.0,564031568.33,0.63,4.84,0.2597,0.3581
000001,2026-04-16,1354.440024,1341.13748805,1358.06798835,1338.71884515,68091460.0,758006903.42,1.43,-14.51,0.3509,-1.0705
000001,2026-04-17,1341.13748805,1331.46291645,1343.55613095,1329.04427355,72253042.0,797678405.53,1.08,-9.67,0.3723,-0.7214
000001,2026-04-20,1331.46291645,1337.5095237,1338.71884515,1325.4163092,63003366.0,695097193.51,1.0,6.05,0.3247,0.4541
000001,2026-04-21,1335.0908808,1339.9281666,1349.6027382,1333.88155935,80694634.0,896659539.18,1.18,2.42,0.4158,0.1808
000001,2026-04-22,1339.9281666,1327.8349521,1341.13748805,1324.20698775,83905399.0,923203009.35,1.26,-12.09,0.4324,-0.9025
000001,2026-04-23,1327.8349521,1330.253595,1333.88155935,1321.78834485,64806661.0,711757543.31,0.91,2.42,0.334,0.1821
000001,2026-04-24,1327.8349521,1330.253595,1333.88155935,1320.5790234,58271012.0,639781173.32,1.0,0.0,0.3003,0.0
000001,2026-04-27,1370.16120285,1376.2078101,1399.18491765,1365.32391705,340127567.0,3891707615.21,2.55,45.95,1.7527,3.4545
