pred_date,buy_date,sell_date,baseline_return,latest_return,baseline_portfolio,latest_portfolio
2026-04-01,2026-04-02,2026-04-09,-0.003937551640195009,0.06937992338689529,601818:0.2000|600023:0.2000|601658:0.2000|601916:0.2000|601169:0.2000,300308:0.4971|300750:0.1096|002028:0.0433|601818:0.0472|600023:0.3028
2026-04-02,2026-04-03,2026-04-10,-0.016982343533896292,0.01422994226001134,601818:0.2000|600023:0.2000|601169:0.2000|601658:0.2000|601939:0.2000,300750:0.4652|300308:0.0935|300502:0.0913|601818:0.0621|600023:0.2879
2026-04-03,2026-04-07,2026-04-13,-0.0016733931698538155,0.051499500384926296,601818:0.2000|600023:0.2000|601169:0.2000|601939:0.2000|601916:0.2000,300750:0.5491|300502:0.0635|002028:0.0374|601818:0.0742|600023:0.2758
2026-04-07,2026-04-08,2026-04-14,0.0002318119782979066,0.06446644732972172,601818:0.2000|600023:0.2000|601169:0.2000|600919:0.2000|601939:0.2000,300502:0.4664|601138:0.1013|300308:0.0823|601818:0.1034|600023:0.2466
2026-04-08,2026-04-09,2026-04-15,0.001506546057743869,0.03784774658753983,601818:0.2000|601169:0.2000|600023:0.2000|601916:0.2000|600919:0.2000,300750:0.2489|300394:0.3146|002028:0.0865|601818:0.1038|601169:0.2462
2026-04-09,2026-04-10,2026-04-16,0.00907045209300542,0.022553864959983082,601818:0.2000|601169:0.2000|601916:0.2000|600023:0.2000|600919:0.2000,300750:0.2843|300394:0.2877|002028:0.0780|601818:0.1181|601169:0.2319
2026-04-10,2026-04-13,2026-04-17,0.013092739317381395,0.03962767960545892,601818:0.2000|601916:0.2000|601169:0.2000|601939:0.2000|600919:0.2000,002028:0.3380|300750:0.2186|300394:0.0934|601818:0.1580|601916:0.1920
2026-04-13,2026-04-14,2026-04-20,0.007463898073270315,0.02226956502239559,601818:0.2000|600919:0.2000|601916:0.2000|601939:0.2000|601169:0.2000,002028:0.5973|600406:0.0222|300750:0.0305|601818:0.0926|600919:0.2574
2026-04-14,2026-04-15,2026-04-21,0.012679265196779711,0.02848425328407052,601818:0.2000|600919:0.2000|601916:0.2000|601939:0.2000|601169:0.2000,002028:0.5303|600089:0.0736|300750:0.0461|601818:0.1258|600919:0.2242
2026-04-15,2026-04-16,2026-04-22,0.009803753435329406,0.0243456670118257,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601169:0.2000,002028:0.5274|000063:0.0584|600089:0.0642|601939:0.1906|600919:0.1594
2026-04-16,2026-04-17,2026-04-23,0.006914270102073072,0.07744680495320866,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601328:0.2000,300502:0.4965|000063:0.0449|300394:0.1086|601939:0.1716|600919:0.1784
2026-04-17,2026-04-20,2026-04-24,0.011835790053261104,0.028405198945772724,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601328:0.2000,300014:0.2230|000063:0.2435|600089:0.1835|601939:0.1703|600919:0.1797
2026-04-20,2026-04-21,2026-04-27,-0.0015168023505729251,0.021904108485961676,601939:0.2000|601916:0.2000|601818:0.2000|600919:0.2000|601328:0.2000,300014:0.1190|300750:0.4722|002028:0.0588|601939:0.2196|601916:0.1304
2026-04-21,2026-04-22,2026-04-28,-0.010669540910136827,-0.027875164117446623,601939:0.2000|601916:0.2000|601328:0.2000|601818:0.2000|600919:0.2000,300750:0.5669|300014:0.0476|300394:0.0355|601939:0.1655|601916:0.1845
2026-04-22,2026-04-23,2026-04-29,0.0003038325617539489,-0.12056498250645208,601939:0.2000|601916:0.2000|601328:0.2000|601818:0.2000|601658:0.2000,300394:0.6231|000063:0.0066|002028:0.0203|601939:0.0990|601916:0.2510
2026-04-23,2026-04-24,2026-04-30,-0.0064454357805846,-0.005985171634457295,601939:0.2000|601328:0.2000|601818:0.2000|601916:0.2000|601658:0.2000,601600:0.4656|600089:0.1185|600406:0.0659|601939:0.1537|601328:0.1963
2026-04-24,2026-04-27,2026-05-06,-0.006698670219689212,-0.027259838613022072,601328:0.2000|601658:0.2000|601939:0.2000|601818:0.2000|601916:0.2000,300394:0.4890|600089:0.0903|600406:0.0707|601328:0.1444|601658:0.2056
2026-04-27,2026-04-28,2026-05-07,-0.013484284320549836,-0.00470200784279756,601658:0.2000|601818:0.2000|601328:0.2000|601939:0.2000|601398:0.2000,002028:0.5590|600089:0.0244|000063:0.0666|601658:0.2503|601818:0.0997
2026-04-28,2026-04-29,2026-05-08,-0.01988814423247487,0.016173251587301585,601658:0.2000|601818:0.2000|601328:0.2000|601939:0.2000|601398:0.2000,300750:0.5841|300014:0.0311|002028:0.0348|601658:0.2642|601818:0.0858
2026-04-29,2026-04-30,2026-05-11,-0.00781938144507019,0.030619104928637265,601658:0.2000|601818:0.2000|601328:0.2000|601398:0.2000|601916:0.2000,300014:0.1201|000063:0.5061|600089:0.0238|601658:0.2847|601818:0.0653
2026-04-30,2026-05-06,2026-05-12,0.0004150873797690401,0.02943531731866201,601658:0.2000|601818:0.2000|601328:0.2000|601916:0.2000|601398:0.2000,000063:0.4534|002050:0.1140|600089:0.0826|601658:0.3254|601818:0.0246
2026-05-06,2026-05-07,2026-05-13,0.003462898737762657,0.03585863920217203,601658:0.2000|601818:0.2000|601916:0.2000|601328:0.2000|601668:0.2000,601138:0.3074|600089:0.0429|300502:0.2997|601658:0.3177|601818:0.0323
2026-05-07,2026-05-08,2026-05-14,-0.0005755168095884916,0.10598327704940215,601818:0.2000|601658:0.2000|601668:0.2000|601398:0.2000|601916:0.2000,601138:0.5727|300502:0.0476|002028:0.0297|601818:0.0306|601658:0.3194
2026-05-08,2026-05-11,2026-05-15,0.0011723406326404266,0.008194241981536298,601818:0.2000|601668:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,300014:0.0907|601138:0.2382|300750:0.3211|601818:0.0352|601668:0.3148
2026-05-11,2026-05-12,2026-05-18,-0.01136323415923513,-0.03096570529546675,601668:0.2000|601818:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,300750:0.5043|601138:0.0828|300502:0.0629|601668:0.3142|601818:0.0358
2026-05-12,2026-05-13,2026-05-19,-0.015399743689582331,-0.027209430567383924,601818:0.2000|601668:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,300750:0.6123|300014:0.0124|601138:0.0253|601818:0.1464|601668:0.2036
