pred_date,buy_date,sell_date,baseline_return,latest_return,baseline_portfolio,latest_portfolio
2026-04-01,2026-04-02,2026-04-09,-0.003937551640195009,0.00704331312275459,601818:0.2000|600023:0.2000|601658:0.2000|601916:0.2000|601169:0.2000,300750:0.1838|002371:0.1956|300394:0.3609|601818:0.1097|600023:0.1500
2026-04-02,2026-04-03,2026-04-10,-0.016982343533896292,0.026200314499521465,601818:0.2000|600023:0.2000|601169:0.2000|601658:0.2000|601939:0.2000,300750:0.2226|300502:0.3100|300394:0.2174|601818:0.1000|600023:0.1500
2026-04-03,2026-04-07,2026-04-13,-0.0016733931698538155,0.12078201100867285,601818:0.2000|600023:0.2000|601169:0.2000|601939:0.2000|601916:0.2000,300308:0.4000|300502:0.2233|002028:0.1469|601818:0.0798|600023:0.1500
2026-04-07,2026-04-08,2026-04-14,0.0002318119782979066,0.09131994710894244,601818:0.2000|600023:0.2000|601169:0.2000|600919:0.2000|601939:0.2000,300308:0.4001|300502:0.1893|300394:0.1915|601818:0.1098|600023:0.1093
2026-04-08,2026-04-09,2026-04-15,0.001506546057743869,0.03845180806170598,601818:0.2000|601169:0.2000|600023:0.2000|601916:0.2000|600919:0.2000,300394:0.3999|300502:0.1948|601138:0.1910|601818:0.1028|601169:0.1115
2026-04-09,2026-04-10,2026-04-16,0.00907045209300542,-0.007558631181619191,601818:0.2000|601169:0.2000|601916:0.2000|600023:0.2000|600919:0.2000,002371:0.1006|601138:0.3080|300394:0.4000|601818:0.1017|601169:0.0897
2026-04-10,2026-04-13,2026-04-17,0.013092739317381395,0.037725103012395574,601818:0.2000|601916:0.2000|601169:0.2000|601939:0.2000|600919:0.2000,300394:0.4000|601138:0.3108|688041:0.0885|601818:0.0866|601916:0.1141
2026-04-13,2026-04-14,2026-04-20,0.007463898073270315,0.01007799491956428,601818:0.2000|600919:0.2000|601916:0.2000|601939:0.2000|601169:0.2000,002028:0.2089|688012:0.4001|300476:0.1682|601818:0.0952|600919:0.1276
2026-04-14,2026-04-15,2026-04-21,0.012679265196779711,-0.013528098421388425,601818:0.2000|600919:0.2000|601916:0.2000|601939:0.2000|601169:0.2000,688012:0.4000|603986:0.2196|002371:0.1972|601818:0.0615|600919:0.1217
2026-04-15,2026-04-16,2026-04-22,0.009803753435329406,0.0015471068263931762,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601169:0.2000,002028:0.3999|688012:0.3292|000063:0.0906|601939:0.1186|600919:0.0617
